1,1,15
1,2,16
1,3,17
1,4,18
1,5,19
1,6,20
1,7,21
1,8,22
1,9,23
1,10,24
1,11,25
1,12,26
1,13,27
2,1,1
2,2,2
2,3,3
2,4,4
2,5,5
2,6,6
2,7,7
2,8,8
2,9,9
2,10,10
2,11,11
2,12,12
2,13,13
2,14,14
2,15,28
2,16,29
2,17,30
2,18,31
2,19,32
2,20,33
2,21,34
2,22,35
2,23,36
2,24,37
2,25,38
2,26,39
2,27,40
2,28,41
2,29,42
2,30,43
2,31,44
2,32,45
2,33,46
3,1,47
3,2,48
3,3,33
3,4,49
3,5,28
3,6,50
3,7,36
3,8,51
3,9,52
3,10,53
3,11,54
3,12,42
3,13,55
4,1,23
4,2,1
4,3,8
4,4,45
4,5,42
4,6,17
4,7,37
4,8,46
4,9,28
4,10,25
4,11,18
4,12,16
4,13,19
4,14,35
4,15,14
4,16,36
4,17,43
4,18,15
4,19,38
4,20,44
4,21,20
4,22,33
4,23,21
4,24,34
4,25,31
4,26,11
4,27,30
4,28,13
4,29,24
4,30,7
4,31,29
4,32,4
4,33,27
4,34,26
4,35,6
4,36,2
